lganame,wardname,year,month,no2_mean_mol_m2,no2_valid_pixels
Burutu,Tamigbe,2018,12,2.9114471875469793e-05,11
Burutu,Torugbene,2018,12,2.9355658625718206e-05,8
Burutu,Tuomo,2018,12,2.83299707986701e-05,13
Patani,Abari,2018,12,3.104426723439246e-05,5
Patani,Agoloma,2018,12,3.1308364123106e-05,5
Patani,Buluangiama,2018,12,3.0505371493442606e-05,12
Patani,Odorubu,2018,12,3.071779584778207e-05,14
Patani,Patani 2,2018,12,3.0360584787558764e-05,6
Patani,Patani 3,2018,12,3.0930520733818415e-05,5
Patani,Patani 4,2018,12,3.2570464099990204e-05,4
Patani,Patani 5,2018,12,3.153992708705898e-05,7
Patani,Toruangiama,2018,12,3.0559126753360036e-05,5
Patani,Uduophori,2018,12,3.075176209677011e-05,8
Warri South-West,Ajudaibo,2018,12,2.9426322726067156e-05,4
Warri South-West,Akpakpa,2018,12,2.7802347904071212e-05,5
Warri South-West,Isaba,2018,12,3.90962406527251e-05,20
Warri South-West,Madangho,2018,12,3.012459637830034e-05,2
Warri South-West,Ogbe-Ijoh,2018,12,3.2080303053142596e-05,61
Warri South-West,Ogidigben,2018,12,2.8731656129821204e-05,8
Warri South-West,Okerenkoko,2018,12,2.699121990698879e-05,59
Warri South-West,Oporozo,2018,12,2.6020022536007065e-05,24
Warri South-West,Orere,2018,12,2.7235678216028544e-05,9
Warri South-West,Ugborodo,2018,12,3.075158165302128e-05,5
Warri South,Avenue,2018,12,5.21820446010679e-05,5
Warri South,Bowen,2018,12,5.9459627664182335e-05,4
Warri South,Ekurede,2018,12,5.142767331562936e-05,5
Warri South,Esisi,2018,12,5.862021498614922e-05,2
Warri South,Igbudu,2018,12,6.125150684965774e-05,2
Warri South,Obodo,2018,12,3.0110670195426792e-05,32
Warri South,Ode-Itsekiri,2018,12,4.229071253741329e-05,11
Warri South,Okere,2018,12,5.8597138073916234e-05,3
Warri South,Pessu,2018,12,6.029904034221545e-05,2
Warri South,Ubeji,2018,12,3.6569634595742595e-05,13
Bomadi,Akugbene 1,2019,1,3.415633545955643e-05,4
Bomadi,Akugbene 2,2019,1,3.775738878175616e-05,1
Bomadi,Akugbene 3,2019,1,3.767908856389113e-05,2
Bomadi,Bomadi,2019,1,3.3092816011048853e-05,6
Bomadi,Ekaametagbene/Kalafio,2019,1,3.0650492408312854e-05,20
Bomadi,Esanma,2019,1,3.275633207522333e-05,8
Bomadi,Kpakiama,2019,1,3.5046670948051746e-05,9
Bomadi,Ogbeinma/Okoloba,2019,1,3.64632869604975e-05,6
Bomadi,Ogo/Eze,2019,1,3.456850148116549e-05,6
Bomadi,Ogriagbene,2019,1,2.8519993065856397e-05,10
Burutu,Bolou-Ndoro,2019,1,2.7978820504531975e-05,42
Burutu,Egodor,2019,1,3.54493526613404e-05,29
Burutu,Eseinbiri,2019,1,3.004593963851221e-05,16
Burutu,Kiagbodo,2019,1,3.8048633723519745e-05,5
Burutu,Ngbilebiri,2019,1,3.5921245095475264e-05,6
Burutu,Obetebe,2019,1,2.985440194606781e-05,50
Burutu,Ogulagha,2019,1,2.8505450410937723e-05,44
Burutu,Ojobo,2019,1,2.4082191521301867e-05,5
Burutu,Tamigbe,2019,1,2.9017185707661238e-05,11
Burutu,Torugbene,2019,1,2.5851310056168586e-05,8
Burutu,Tuomo,2019,1,3.0764217416827494e-05,13
Patani,Abari,2019,1,3.5505538107827306e-05,5
Patani,Agoloma,2019,1,3.5738007863983515e-05,5
Patani,Buluangiama,2019,1,3.468512052980562e-05,12
Patani,Odorubu,2019,1,3.431358657378171e-05,14
Patani,Patani 2,2019,1,3.540285009269913e-05,6
Patani,Patani 3,2019,1,3.542675985954702e-05,5
Patani,Patani 4,2019,1,3.72274371329695e-05,4
Patani,Patani 5,2019,1,3.630655036041779e-05,7
Patani,Toruangiama,2019,1,3.322715638205409e-05,5
Patani,Uduophori,2019,1,3.358772664796561e-05,8
Warri South-West,Ajudaibo,2019,1,2.8134911190136336e-05,4
Warri South-West,Akpakpa,2019,1,2.5948145776055753e-05,5
Warri South-West,Isaba,2019,1,3.6978322896175086e-05,20
Warri South-West,Madangho,2019,1,2.9412702133413404e-05,2
Warri South-West,Ogbe-Ijoh,2019,1,3.138588184154913e-05,61
Warri South-West,Ogidigben,2019,1,2.6778845494845882e-05,8
Warri South-West,Okerenkoko,2019,1,2.7469864462391804e-05,59
Warri South-West,Oporozo,2019,1,2.5894019927363843e-05,24
Warri South-West,Orere,2019,1,2.500386067873074e-05,9
Warri South-West,Ugborodo,2019,1,2.789650752674788e-05,5
Warri South,Avenue,2019,1,4.556493950076401e-05,5
Warri South,Bowen,2019,1,4.770161467604339e-05,4
Warri South,Ekurede,2019,1,4.5262541971169415e-05,5
Warri South,Esisi,2019,1,4.758757131639868e-05,2
Warri South,Igbudu,2019,1,4.787232319358736e-05,2
Warri South,Obodo,2019,1,3.283201658632606e-05,32
Warri South,Ode-Itsekiri,2019,1,3.921038693409752e-05,11
Warri South,Okere,2019,1,4.7535679186694324e-05,3
Warri South,Pessu,2019,1,4.78156580356881e-05,2
Warri South,Ubeji,2019,1,3.78182023548736e-05,13
Bomadi,Akugbene 1,2019,2,2.5859857487375848e-05,4
Bomadi,Akugbene 2,2019,2,2.7107262212666683e-05,1
Bomadi,Akugbene 3,2019,2,2.6036736016976647e-05,2
Bomadi,Bomadi,2019,2,2.7389369885592412e-05,6
Bomadi,Ekaametagbene/Kalafio,2019,2,2.4827494053170084e-05,20
Bomadi,Esanma,2019,2,2.5934998120646924e-05,8
Bomadi,Kpakiama,2019,2,3.1297337651873626e-05,9
Bomadi,Ogbeinma/Okoloba,2019,2,2.5941066269297153e-05,6
Bomadi,Ogo/Eze,2019,2,2.635923495593791e-05,6
Bomadi,Ogriagbene,2019,2,2.5421188911423088e-05,10
Burutu,Bolou-Ndoro,2019,2,2.540761904258813e-05,42
Burutu,Egodor,2019,2,2.705862199694946e-05,29
Burutu,Eseinbiri,2019,2,2.5547891709720716e-05,16
Burutu,Kiagbodo,2019,2,3.1253168708644806e-05,5
Burutu,Ngbilebiri,2019,2,2.8430709789972752e-05,6
Burutu,Obetebe,2019,2,2.5902488268911838e-05,50
Burutu,Ogulagha,2019,2,2.6944807772947982e-05,44
Burutu,Ojobo,2019,2,2.375877811573446e-05,5
Burutu,Tamigbe,2019,2,2.4837108371271327e-05,11
Burutu,Torugbene,2019,2,2.4553080947953276e-05,8
Burutu,Tuomo,2019,2,2.6336112149203054e-05,13
Patani,Abari,2019,2,2.8455955907702445e-05,5
Patani,Agoloma,2019,2,2.6810728013515472e-05,5
Patani,Buluangiama,2019,2,2.7909964652887236e-05,12
Patani,Odorubu,2019,2,2.824642537494323e-05,14
Patani,Patani 2,2019,2,2.751512753699596e-05,6
Patani,Patani 3,2019,2,2.7758226497098804e-05,5
Patani,Patani 4,2019,2,2.6797570171765983e-05,4
Patani,Patani 5,2019,2,2.537416626832315e-05,7
Patani,Toruangiama,2019,2,2.8072780696675182e-05,5
Patani,Uduophori,2019,2,2.6892603273154236e-05,8
Warri South-West,Ajudaibo,2019,2,2.663982377271168e-05,4
Warri South-West,Akpakpa,2019,2,2.6094805798493324e-05,5
Warri South-West,Isaba,2019,2,2.9384030494838952e-05,20
Warri South-West,Madangho,2019,2,2.6283374609192833e-05,2
Warri South-West,Ogbe-Ijoh,2019,2,2.7292606527688072e-05,61
Warri South-West,Ogidigben,2019,2,2.5113982701441273e-05,8
Warri South-West,Okerenkoko,2019,2,2.6115563587617066e-05,59
Warri South-West,Oporozo,2019,2,2.5466382794547826e-05,24
Warri South-West,Orere,2019,2,2.486279764626589e-05,9
Warri South-West,Ugborodo,2019,2,2.632730465847999e-05,5
Warri South,Avenue,2019,2,4.104772524442524e-05,5
Warri South,Bowen,2019,2,4.160775279160589e-05,4
Warri South,Ekurede,2019,2,3.955896245315671e-05,5
Warri South,Esisi,2019,2,4.290975630283356e-05,2
Warri South,Igbudu,2019,2,4.25551988882944e-05,2
Warri South,Obodo,2019,2,2.900083563872613e-05,32
Warri South,Ode-Itsekiri,2019,2,3.303827146406878e-05,11
Warri South,Okere,2019,2,4.1654648763748504e-05,3
Warri South,Pessu,2019,2,4.0305745642399415e-05,2
Warri South,Ubeji,2019,2,3.336110743335806e-05,13
Bomadi,Akugbene 1,2019,3,2.269046672154218e-05,4
Bomadi,Akugbene 2,2019,3,2.3043849068926647e-05,1
Bomadi,Akugbene 3,2019,3,2.4039640265982598e-05,2
Bomadi,Bomadi,2019,3,2.3678920115344226e-05,6
Bomadi,Ekaametagbene/Kalafio,2019,3,2.093654329655692e-05,20
Bomadi,Esanma,2019,3,2.3254277039086446e-05,8
Bomadi,Kpakiama,2019,3,2.1901945324821605e-05,9
Bomadi,Ogbeinma/Okoloba,2019,3,2.3547404756148655e-05,6
Bomadi,Ogo/Eze,2019,3,2.358103423224141e-05,6
Bomadi,Ogriagbene,2019,3,2.0189306815154852e-05,10
Burutu,Bolou-Ndoro,2019,3,1.9580655221250797e-05,42
Burutu,Egodor,2019,3,2.2686865373418248e-05,29
Burutu,Eseinbiri,2019,3,2.235857755295001e-05,16
Burutu,Kiagbodo,2019,3,2.3270148085430263e-05,5
Burutu,Ngbilebiri,2019,3,2.1892175330625225e-05,6
Burutu,Obetebe,2019,3,2.0905688870698214e-05,50
Burutu,Ogulagha,2019,3,2.1786037409170106e-05,44
Burutu,Ojobo,2019,3,1.9010603136848658e-05,5
Burutu,Tamigbe,2019,3,2.1166443316773936e-05,11
Burutu,Torugbene,2019,3,1.9318860722705722e-05,8
Burutu,Tuomo,2019,3,2.3797926797459906e-05,13
Patani,Abari,2019,3,2.5067944079637527e-05,5
Patani,Agoloma,2019,3,2.1922370069660247e-05,5
Patani,Buluangiama,2019,3,2.1757761714980006e-05,12
Patani,Odorubu,2019,3,2.3637285007030835e-05,14
Patani,Patani 2,2019,3,2.4431297788396478e-05,6
Patani,Patani 3,2019,3,2.447105071041733e-05,5
Patani,Patani 4,2019,3,2.205409691669047e-05,4
Patani,Patani 5,2019,3,2.1365171830568996e-05,7
Patani,Toruangiama,2019,3,2.290956617798656e-05,5
Patani,Uduophori,2019,3,2.2940219423617236e-05,8
Warri South-West,Ajudaibo,2019,3,2.012914228544105e-05,4
Warri South-West,Akpakpa,2019,3,1.800845202524215e-05,5
Warri South-West,Isaba,2019,3,2.3353277356363833e-05,20
Warri South-West,Madangho,2019,3,2.1749619918409735e-05,2
Warri South-West,Ogbe-Ijoh,2019,3,2.3312637674026802e-05,61
Warri South-West,Ogidigben,2019,3,2.0269628294045106e-05,8
Warri South-West,Okerenkoko,2019,3,2.3413488988654087e-05,59
Warri South-West,Oporozo,2019,3,1.9584847905207425e-05,24
Warri South-West,Orere,2019,3,1.7996432790015307e-05,9
Warri South-West,Ugborodo,2019,3,2.010778262047097e-05,5
Warri South,Avenue,2019,3,2.7480971766635776e-05,5
Warri South,Bowen,2019,3,2.413027686998248e-05,4
Warri South,Ekurede,2019,3,2.5021450710482895e-05,5
Warri South,Esisi,2019,3,2.645879430929199e-05,2
Warri South,Igbudu,2019,3,2.328205300727859e-05,2
Warri South,Obodo,2019,3,2.222875446022954e-05,32
Warri South,Ode-Itsekiri,2019,3,2.5072706524621356e-05,11
Warri South,Okere,2019,3,2.5320904872690637e-05,3
Warri South,Pessu,2019,3,2.1801759430672973e-05,2
Warri South,Ubeji,2019,3,2.3136224346951796e-05,13
Bomadi,Akugbene 1,2019,4,1.4727939742442686e-05,4
Bomadi,Akugbene 2,2019,4,1.6082582078524865e-05,1
Bomadi,Akugbene 3,2019,4,1.4343633665703237e-05,2
Bomadi,Bomadi,2019,4,7.650094630662352e-06,6
Bomadi,Ekaametagbene/Kalafio,2019,4,1.4205087791197001e-05,20
Bomadi,Esanma,2019,4,1.3057995602139272e-05,8
Bomadi,Kpakiama,2019,4,1.1966379436974725e-05,9
Bomadi,Ogbeinma/Okoloba,2019,4,1.5574586238168802e-05,6
Bomadi,Ogo/Eze,2019,4,1.4679850816416243e-05,6
Bomadi,Ogriagbene,2019,4,1.2566725490614773e-05,10
Burutu,Bolou-Ndoro,2019,4,1.3834218926993863e-05,42
Burutu,Egodor,2019,4,1.5347128220159432e-05,29
Burutu,Eseinbiri,2019,4,9.479776053922251e-06,16
Burutu,Kiagbodo,2019,4,1.4844488759990782e-05,5
Burutu,Ngbilebiri,2019,4,1.4218621799955145e-05,6
Burutu,Obetebe,2019,4,1.4665365451946854e-05,50
Burutu,Ogulagha,2019,4,1.4159417002123188e-05,44
Burutu,Ojobo,2019,4,1.4521076809614897e-05,5
Burutu,Tamigbe,2019,4,1.2093313588676127e-05,11
Burutu,Torugbene,2019,4,1.5057275049912278e-05,8
Burutu,Tuomo,2019,4,1.409426421070328e-05,13
Patani,Abari,2019,4,1.7663484322838484e-05,5
Patani,Agoloma,2019,4,1.7726175428833812e-05,5
Patani,Buluangiama,2019,4,1.5832121183242027e-05,12
Patani,Odorubu,2019,4,1.4563346797201251e-05,14
Patani,Patani 2,2019,4,1.7425774179476623e-05,6
Patani,Patani 3,2019,4,1.760123413987458e-05,5
Patani,Patani 4,2019,4,1.6486901586176828e-05,4
Patani,Patani 5,2019,4,1.6551182073141846e-05,7
Patani,Toruangiama,2019,4,1.5281801461242138e-05,5
Patani,Uduophori,2019,4,1.4805202226852998e-05,8
Warri South-West,Ajudaibo,2019,4,1.5010252354841214e-05,4
Warri South-West,Akpakpa,2019,4,1.4408069546334445e-05,5
Warri South-West,Isaba,2019,4,1.638749527046457e-05,20
Warri South-West,Madangho,2019,4,1.589370185683947e-05,2
Warri South-West,Ogbe-Ijoh,2019,4,1.653561704471463e-05,61
Warri South-West,Ogidigben,2019,4,1.488796351623023e-05,8
Warri South-West,Okerenkoko,2019,4,1.6513441381502456e-05,59
Warri South-West,Oporozo,2019,4,1.715352846076712e-05,24
Warri South-West,Orere,2019,4,1.6857148794871238e-05,9
Warri South-West,Ugborodo,2019,4,1.5526171773672103e-05,5
Warri South,Avenue,2019,4,2.576114784460515e-05,5
Warri South,Bowen,2019,4,2.5239316528313793e-05,4
Warri South,Ekurede,2019,4,2.211226092185825e-05,5
Warri South,Esisi,2019,4,2.8296963137108833e-05,2
Warri South,Igbudu,2019,4,2.5364148314110935e-05,2
Warri South,Obodo,2019,4,1.7816000763559714e-05,32
Warri South,Ode-Itsekiri,2019,4,1.8015084523622963e-05,11
Warri South,Okere,2019,4,2.647515308732788e-05,3
Warri South,Pessu,2019,4,2.2181669919518754e-05,2
Warri South,Ubeji,2019,4,2.0521401893347502e-05,13
Bomadi,Akugbene 1,2019,5,1.4202199963619933e-05,4
Bomadi,Akugbene 2,2019,5,1.6526404579053633e-05,1
Bomadi,Akugbene 3,2019,5,1.461578176531475e-05,2
Bomadi,Bomadi,2019,5,1.4458387643874934e-05,6
Bomadi,Ekaametagbene/Kalafio,2019,5,9.945459896698595e-06,20
Bomadi,Esanma,2019,5,1.2577641427924391e-05,8
Bomadi,Kpakiama,2019,5,1.4565674872655007e-05,9
Bomadi,Ogbeinma/Okoloba,2019,5,1.4603922560733432e-05,6
Bomadi,Ogo/Eze,2019,5,1.361000249744393e-05,6
Bomadi,Ogriagbene,2019,5,8.895943028619514e-06,10
Burutu,Bolou-Ndoro,2019,5,1.1024837260178866e-05,42
Burutu,Egodor,2019,5,1.466806058707679e-05,29
Burutu,Eseinbiri,2019,5,1.0993046089424752e-05,16
Burutu,Kiagbodo,2019,5,1.3525607937481254e-05,5
Burutu,Ngbilebiri,2019,5,1.3173805200494826e-05,6
Burutu,Obetebe,2019,5,1.4066401636227965e-05,50
Burutu,Ogulagha,2019,5,1.83455307375301e-05,44
Burutu,Ojobo,2019,5,1.112581667257473e-05,5
Burutu,Tamigbe,2019,5,1.1418674892576581e-05,11
Burutu,Torugbene,2019,5,9.755649443832226e-06,8
Burutu,Tuomo,2019,5,1.390045396804523e-05,13
Patani,Abari,2019,5,1.3400704483501613e-05,5
Patani,Agoloma,2019,5,1.7817469779402017e-05,5
Patani,Buluangiama,2019,5,1.6347905329894274e-05,12
Patani,Odorubu,2019,5,1.529310247860849e-05,14
Patani,Patani 2,2019,5,1.3866757702392837e-05,6
Patani,Patani 3,2019,5,1.3941683573648333e-05,5
Patani,Patani 4,2019,5,1.6249943655566312e-05,4
Patani,Patani 5,2019,5,1.6931078529783656e-05,7
Patani,Toruangiama,2019,5,1.5452994557563215e-05,5
Patani,Uduophori,2019,5,1.5310059097828344e-05,8
Warri South-West,Ajudaibo,2019,5,1.6045934899011627e-05,4
Warri South-West,Akpakpa,2019,5,1.5695340698584916e-05,5
Warri South-West,Isaba,2019,5,1.6906218661461025e-05,20
Warri South-West,Madangho,2019,5,1.6644491552142426e-05,2
Warri South-West,Ogbe-Ijoh,2019,5,1.8435917779436856e-05,61
Warri South-West,Ogidigben,2019,5,1.5234848433465231e-05,8
Warri South-West,Okerenkoko,2019,5,1.5163975688865629e-05,59
Warri South-West,Oporozo,2019,5,1.4891383519473797e-05,24
Warri South-West,Orere,2019,5,1.1841189310265085e-05,9
Warri South-West,Ugborodo,2019,5,1.5746874851174653e-05,5
Warri South,Avenue,2019,5,2.4476388352923097e-05,5
Warri South,Bowen,2019,5,2.3846097974455915e-05,4
Warri South,Ekurede,2019,5,2.3060012608766556e-05,5
Warri South,Esisi,2019,5,2.483587923052255e-05,2
Warri South,Igbudu,2019,5,2.387715721852146e-05,2
Warri South,Obodo,2019,5,1.4113052202446852e-05,32
Warri South,Ode-Itsekiri,2019,5,1.8494670670902863e-05,11
Warri South,Okere,2019,5,2.4115113774314523e-05,3
Warri South,Pessu,2019,5,2.2856318537378684e-05,2
Warri South,Ubeji,2019,5,1.8919034538647302e-05,13
Bomadi,Akugbene 1,2019,6,1.4341025234898552e-05,4
Bomadi,Akugbene 2,2019,6,1.3391083484748378e-05,1
Bomadi,Akugbene 3,2019,6,1.27011226140894e-05,2
Bomadi,Bomadi,2019,6,1.1977276396161566e-05,6
Bomadi,Ekaametagbene/Kalafio,2019,6,1.3690174091607332e-05,20
Bomadi,Esanma,2019,6,1.583233279234264e-05,8
Bomadi,Kpakiama,2019,6,1.2136743559191624e-05,9
Bomadi,Ogbeinma/Okoloba,2019,6,1.4604469470214099e-05,6
Bomadi,Ogo/Eze,2019,6,1.5998627835263807e-05,6
Bomadi,Ogriagbene,2019,6,1.199396647280082e-05,10
Burutu,Bolou-Ndoro,2019,6,1.2001438465501582e-05,42
Burutu,Egodor,2019,6,1.4767220348183965e-05,29
Burutu,Eseinbiri,2019,6,1.2921522284159437e-05,16
Burutu,Kiagbodo,2019,6,1.5960920427460225e-05,5
Burutu,Ngbilebiri,2019,6,1.1791275028372183e-05,6
Burutu,Obetebe,2019,6,1.2475029798224569e-05,50
Burutu,Ogulagha,2019,6,1.1832686141133308e-05,44
Burutu,Ojobo,2019,6,7.72731873439625e-06,5
Burutu,Tamigbe,2019,6,9.247087291441858e-06,11
Burutu,Torugbene,2019,6,8.573570084990934e-06,8
Burutu,Tuomo,2019,6,1.0476623384210352e-05,13
Patani,Abari,2019,6,1.4954039943404496e-05,5
Patani,Agoloma,2019,6,1.4376136823557317e-05,5
Patani,Buluangiama,2019,6,1.3283723092172295e-05,12
Patani,Odorubu,2019,6,1.2993116147949227e-05,14
Patani,Patani 2,2019,6,1.4759207260794938e-05,6
Patani,Patani 3,2019,6,1.4782894868403674e-05,5
Patani,Patani 4,2019,6,1.3528579074773006e-05,4
Patani,Patani 5,2019,6,1.380998479102605e-05,7
Patani,Toruangiama,2019,6,1.3077291077934205e-05,5
Patani,Uduophori,2019,6,1.3238066458143294e-05,8
Warri South-West,Ajudaibo,2019,6,1.7500045942142606e-05,4
Warri South-West,Akpakpa,2019,6,1.874918962130323e-05,5
Warri South-West,Isaba,2019,6,1.5388173051178455e-05,20
Warri South-West,Madangho,2019,6,1.9711005734279752e-05,2
Warri South-West,Ogbe-Ijoh,2019,6,1.5129138654494872e-05,61
Warri South-West,Ogidigben,2019,6,1.5169660400715657e-05,8
Warri South-West,Okerenkoko,2019,6,1.4521479527702775e-05,59
Warri South-West,Oporozo,2019,6,1.816077929106541e-05,24
Warri South-West,Orere,2019,6,1.6022260145594675e-05,9
Warri South-West,Ugborodo,2019,6,1.6591900202911346e-05,5
