lganame,wardname,year,month,ndvi_monthly,ndvi_pixels
Burutu,Ngbilebiri,2025,6,0.745958131525014,223
Burutu,Obetebe,2025,6,0.5542711830664601,2541
Burutu,Ogulagha,2025,6,0.5782848146012386,4945
Burutu,Ojobo,2025,6,,0
Burutu,Tamigbe,2025,6,,0
Burutu,Torugbene,2025,6,,0
Burutu,Tuomo,2025,6,,0
Patani,Abari,2025,6,,0
Patani,Agoloma,2025,6,,0
Patani,Buluangiama,2025,6,,0
Patani,Odorubu,2025,6,,0
Patani,Patani 2,2025,6,,0
Patani,Patani 3,2025,6,,0
Patani,Patani 4,2025,6,,0
Patani,Patani 5,2025,6,,0
Patani,Toruangiama,2025,6,,0
Patani,Uduophori,2025,6,,0
Warri South-West,Ajudaibo,2025,6,0.1348500516679552,72
Warri South-West,Akpakpa,2025,6,0.26736771136632265,271
Warri South-West,Isaba,2025,6,0.6038253734476792,1842
Warri South-West,Madangho,2025,6,0.336436927318573,2
Warri South-West,Ogbe-Ijoh,2025,6,0.5322644326526205,10418
Warri South-West,Ogidigben,2025,6,0.26670020135932665,646
Warri South-West,Okerenkoko,2025,6,0.6492420076199412,19718
Warri South-West,Oporozo,2025,6,0.42478661871851114,2878
Warri South-West,Orere,2025,6,0.3901717727248733,666
Warri South-West,Ugborodo,2025,6,0.32334049888279126,23
Warri South,Avenue,2025,6,0.7085897109087775,170
Warri South,Bowen,2025,6,,0
Warri South,Ekurede,2025,6,0.7240736670978057,601
Warri South,Esisi,2025,6,,0
Warri South,Igbudu,2025,6,,0
Warri South,Obodo,2025,6,0.6160562181917847,6214
Warri South,Ode-Itsekiri,2025,6,0.6016600716391974,1587
Warri South,Okere,2025,6,0.6595914286951865,31
Warri South,Pessu,2025,6,,0
Warri South,Ubeji,2025,6,0.592098169493259,802
Bomadi,Akugbene 1,2026,4,,0
Bomadi,Akugbene 2,2026,4,,0
Bomadi,Akugbene 3,2026,4,,0
Bomadi,Bomadi,2026,4,,0
Bomadi,Ekaametagbene/Kalafio,2026,4,,0
Bomadi,Esanma,2026,4,,0
Bomadi,Kpakiama,2026,4,,0
Bomadi,Ogbeinma/Okoloba,2026,4,,0
Bomadi,Ogo/Eze,2026,4,,0
Bomadi,Ogriagbene,2026,4,,0
Burutu,Bolou-Ndoro,2026,4,,0
Burutu,Egodor,2026,4,0.7371800588276571,835
Burutu,Eseinbiri,2026,4,,0
Burutu,Kiagbodo,2026,4,,0
Burutu,Ngbilebiri,2026,4,,0
Burutu,Obetebe,2026,4,,0
Burutu,Ogulagha,2026,4,0.003496678696352215,14613
Burutu,Ojobo,2026,4,,0
Burutu,Tamigbe,2026,4,,0
Burutu,Torugbene,2026,4,,0
Burutu,Tuomo,2026,4,,0
Patani,Abari,2026,4,,0
Patani,Agoloma,2026,4,,0
Patani,Buluangiama,2026,4,,0
Patani,Odorubu,2026,4,,0
Patani,Patani 2,2026,4,,0
Patani,Patani 3,2026,4,,0
Patani,Patani 4,2026,4,,0
Patani,Patani 5,2026,4,,0
Patani,Toruangiama,2026,4,,0
Patani,Uduophori,2026,4,,0
Warri South-West,Ajudaibo,2026,4,-0.10256337595509958,637
Warri South-West,Akpakpa,2026,4,0.17036168524559508,705
Warri South-West,Isaba,2026,4,0.7443273833647815,9407
Warri South-West,Madangho,2026,4,0.1524705019864169,264
Warri South-West,Ogbe-Ijoh,2026,4,0.6663653829237499,36236
Warri South-West,Ogidigben,2026,4,0.29316737342198523,3827
Warri South-West,Okerenkoko,2026,4,0.3885711432809874,41057
Warri South-West,Oporozo,2026,4,-0.07837125619786665,10415
Warri South-West,Orere,2026,4,-0.15291810116525423,1475
Warri South-West,Ugborodo,2026,4,-0.14753965535413152,2965
Warri South,Avenue,2026,4,0.8119782355138127,638
Warri South,Bowen,2026,4,0.8412151336669922,96
Warri South,Ekurede,2026,4,0.8244419401941087,941
Warri South,Esisi,2026,4,0.8315464454361156,158
Warri South,Igbudu,2026,4,0.8314794114798554,363
Warri South,Obodo,2026,4,0.7125259738312312,18235
Warri South,Ode-Itsekiri,2026,4,0.8109437705217074,5482
Warri South,Okere,2026,4,0.8320471044775244,333
Warri South,Pessu,2026,4,0.8256906320382883,555
Warri South,Ubeji,2026,4,0.7609413617558565,4653
